# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b51b682183.json
# init = 2 (Default)
# random
#   seed = 1530396534
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-1-0218eb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-1-0c9965.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-9.9139126,0.98460915,0.14387748,3,7,0,10.464362,0.79980547,4.0539261,3.2423523,0.81157383,-1.2975657,-0.042750805,0.41016643,-0.26051699,-0.44689923,3,1,4,3,4,5,2,8,4,3,-2.6639639,0.50273966,1.4870797,0.74761392,0.73946574
-10.163074,0.99589418,0.23979599,3,7,0,10.345537,0.82082451,4.2004476,3.4478304,0.75261725,-1.2446171,-0.033454727,0.4651811,-0.25015408,-0.46846553,8,1,8,6,2,3,1,7,5,1,-2.8873168,0.65430942,1.430294,0.93585482,0.49443916
-10.801003,0.97882345,0.40814814,3,7,0,10.941682,0.85703373,4.5931903,3.936519,0.65667127,-1.1569495,-0.017718999,0.56112136,-0.23386905,-0.50963554,4,1,8,4,4,5,2,8,5,1,-3.4405752,0.58783334,3.1984176,1.8801365,1.3182811
-10.801003,0.58402327,0.65968706,1,1,0,12.036112,0.85703373,4.5931903,3.936519,0.65667127,-1.1569495,-0.017718999,0.56112136,-0.23386905,-0.50963554,3,5,6,7,3,7,2,7,4,2,-3.4405752,0.23175544,2.2840267,0.52933561,1.7546911
-10.037368,1,0.38987029,3,7,0,11.008209,0.82619875,1.2936909,1.0688458,0.22484509,-1.0831067,-0.17994928,0.38906954,-0.39980957,-0.55133126,4,1,7,2,1,4,2,8,4,3,-1.0118721,0.76642914,1.7633699,1.3514981,0.41187183
-9.6743947,0.92256809,0.65992235,1,3,0,10.999492,0.63582017,1.1973114,0.76127476,0.43603668,-1.4743866,-0.26006719,-0.026597501,-0.49890739,-0.45471128,3,2,7,6,3,2,3,5,5,3,-0.60353625,0.29662675,4.136767,1.2270757,2.9096913
-9.5059148,1,0.9137822,1,1,0,10.101578,0.59022593,1.3295068,0.78470941,0.54479742,-1.6154953,-0.26720506,-0.12858818,-0.51693095,-0.42136282,4,4,6,5,2,5,4,8,6,2,-0.47172082,0.55964121,0.95918615,0.5368001,0.42238605
-9.5059148,2.2379467e-45,1.5251625,1,1,0,11.255842,0.59022593,1.3295068,0.78470941,0.54479742,-1.6154953,-0.26720506,-0.12858818,-0.51693095,-0.42136282,3,5,8,3,2,4,6,8,4,1,-0.47172082,0.38766715,1.7501261,0.6784664,1.0716597
-10.305913,0.96515734,0.21657457,3,7,0,11.827453,0.38473284,2.2054043,0.84849143,1.3569128,-2.4334665,-0.36149978,-0.67907623,-0.70799473,-0.30632897,2,6,8,1,4,3,4,8,3,4,-0.68496298,0.33760438,2.7559252,0.93041241,1.8255128
-9.5284802,1,0.33294358,3,7,0,10.277257,0.48171943,1.9598639,0.94410451,1.0157594,-2.0605691,-0.29133158,-0.40941283,-0.58459987,-0.33372325,5,2,6,5,3,4,1,5,6,3,-0.49536079,0.5568436,4.1448333,2.3080239,1.8368094
-9.6801699,0.94245728,0.55349723,2,7,0,10.446494,0.83065245,3.2055437,2.6626927,0.54285099,-1.1901667,-0.055066289,0.47583872,-0.27186086,-0.49048801,1,4,3,5,3,6,3,6,3,1,-2.0053265,0.14621996,2.8498488,0.41670478,2.433144
-9.9367907,0.81227459,0.79549991,1,3,0,10.732707,0.61947893,1.0993097,0.68099919,0.41831049,-1.4862846,-0.28187463,-0.063622148,-0.52332859,-0.46332238,3,3,5,5,1,7,1,7,5,2,-0.69012477,0.29985857,1.439086,0.43152227,1.0075637
-9.0989529,1,0.83348324,1,1,0,9.7170895,0.68874107,1.5634902,1.0768399,0.48665028,-1.4201196,-0.19457153,0.10005357,-0.42516363,-0.43948499,5,4,8,4,1,6,3,8,3,2,-0.54222757,0.85758561,1.6631804,1.4263196,0.23686082
-9.0989529,3.0975217e-10,1.3623837,1,3,1,12.780233,0.68874107,1.5634902,1.0768399,0.48665028,-1.4201196,-0.19457153,0.10005357,-0.42516363,-0.43948499,6,3,5,6,3,4,4,5,5,6,-0.54222757,0.24250936,3.1786784,0.77085927,2.4078192
-8.9268314,1,0.20949404,3,7,0,9.1832475,0.732859,1.9417249,1.4230106,0.51871433,-1.3594387,-0.14568505,0.21210526,-0.37026767,-0.44104169,4,1,7,2,1,2,3,5,1,2,-0.73013803,0.94241508,2.0876759,1.9674573,0.12021866
-9.4932097,0.90872383,0.34327175,2,7,0,11.230924,0.59554564,1.3291338,0.79155983,0.53757396,-1.602229,-0.26435957,-0.11639838,-0.51277164,-0.42316844,6,2,6,4,3,6,3,8,5,6,-0.47599314,0.36404743,3.0103662,1.0959161,1.9144501
-9.5811065,1,0.451895,2,3,0,9.7706773,0.5347631,1.4099606,0.7539949,0.65596571,-1.7788001,-0.29152286,-0.25939696,-0.55782188,-0.3958041,6,4,8,5,2,4,4,7,3,4,-0.41315355,0.2987368,5.2415453,1.5658425,3.6757028
-11.625694,0.30838455,0.73191945,2,7,0,13.210258,0.83297215,0.82731583,0.68913105,0.13818479,-1.0144886,-0.26603523,0.34322237,-0.48911446,-0.6097386,2,2,5,4,2,8,5,8,4,1,-1.7751877,0.59580099,1.8773226,1.1185106,0.75881193
-8.8470574,1,0.24066665,3,7,0,11.973919,0.65137372,2.1592488,1.4064779,0.75277089,-1.5953678,-0.170917,0.017843765,-0.4098549,-0.38061005,4,4,8,5,5,5,2,7,2,2,-0.69795792,0.37338124,4.5003633,1.6803512,2.8200121
-8.9217028,0.99223841,0.38889515,2,3,0,8.9298498,0.64950028,2.6521567,1.7225765,0.92958016,-1.6499045,-0.15011326,0.014624367,-0.39056654,-0.35821677,3,2,7,4,1,2,3,8,4,4,-1.0486554,0.29917388,5.7601056,1.7232731,4.0368324
-9.1735564,0.88109978,0.61369646,2,3,0,9.4969131,0.54515228,2.0144165,1.0981637,0.91625273,-1.878097,-0.24332595,-0.24796617,-0.51225617,-0.34561475,2,2,8,3,4,4,3,7,5,2,-0.52894732,0.82700931,1.8668301,1.5438859,0.32294423
