# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b53e55bd00.json
# init = 2 (Default)
# random
#   seed = 464448135
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-17bef8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-2e4eec.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-11.118568,0.81214087,1.4602743,1,1,0,11.26241,0.74730135,-0.53315668,-0.48077411,-0.44865861,-0.53391421,-0.47283546,6,6,7,2,2,5,2,7,1,1,0.12491511,0.35305956
-11.118568,0.62416382,1.5321465,1,3,0,11.329232,0.74730135,-0.53315668,-0.48077411,-0.44865861,-0.53391421,-0.47283546,8,5,4,1,5,6,4,4,4,7,0.12491511,0.27968188
-10.744087,0.98336451,0.97598556,2,3,0,11.187988,0.48026596,-0.34933663,-0.45245941,-0.51793451,-0.44872661,-0.64852522,3,6,5,5,6,5,6,2,3,4,0.40390616,0.43410408
-11.030132,0.76719465,1.610135,1,1,0,11.038423,0.73088155,-0.52006313,-0.47322079,-0.45088993,-0.52556607,-0.47937984,6,3,5,2,5,4,3,5,2,5,0.16565193,0.48787988
-10.836634,1,1.499449,1,1,0,11.074442,0.68433846,-0.48417086,-0.45636515,-0.45871065,-0.50430964,-0.50106595,8,6,3,4,6,6,2,4,3,4,0.2593721,0.14603633
-10.818235,1,2.5536791,1,1,0,11.210152,0.67865323,-0.47991201,-0.45475082,-0.45981552,-0.5019496,-0.50402817,8,6,4,4,5,2,2,4,1,2,0.26888001,0.24026049
-10.818235,5.9961422e-09,4.3134278,1,1,0,11.148532,0.67865323,-0.47991201,-0.45475082,-0.45981552,-0.5019496,-0.50402817,5,3,6,2,2,4,1,4,1,4,0.26888001,0.4350699
-10.923208,0.99330931,0.5649277,3,7,0,11.027628,0.41816147,-0.31618044,-0.47125795,-0.54366662,-0.44263594,-0.7097975,3,4,4,3,6,5,3,3,3,1,0.37830953,0.66329225
-10.699515,1,0.9413665,1,1,0,10.851641,0.50457356,-0.36336586,-0.44748823,-0.50882126,-0.45240252,-0.62660439,4,2,5,3,5,7,3,5,2,3,0.40538143,0.69988082
-10.699515,0.33848277,1.5830239,1,1,0,11.032454,0.50457356,-0.36336586,-0.44748823,-0.50882126,-0.45240252,-0.62660439,5,2,4,3,2,8,2,4,2,5,0.40538143,0.75982069
-10.65269,0.99755732,0.5078831,2,5,0,10.74054,0.55514092,-0.39437046,-0.44163173,-0.49161618,-0.46248321,-0.58473593,5,1,4,1,5,8,2,7,2,4,0.39322846,0.89187465
-13.554732,0.53551176,0.84618066,2,3,0,13.625574,0.12429194,-0.22004245,-0.66998658,-0.71186151,-0.47199307,-1.1038435,7,3,7,3,8,7,2,7,4,3,-0.42608514,0.55809136
-13.957197,0.99736414,0.4497356,1,1,0,13.95732,0.10421998,-0.21782302,-0.68985363,-0.7261053,-0.4772178,-1.1372763,7,2,5,3,4,7,6,6,1,8,-0.57955238,0.71530518
-14.752418,0.99383357,0.74403089,1,1,0,14.781699,0.073124317,-0.21570355,-0.72219127,-0.74886589,-0.48607492,-1.1908132,6,3,7,2,4,6,3,6,4,5,-0.89977067,0.90311162
-12.708694,1,1.2117214,1,1,0,14.695328,0.17917756,-0.22930954,-0.61969825,-0.67470514,-0.45971227,-1.0168332,4,2,4,2,2,6,3,8,4,8,-0.12506699,0.79300706
-10.930164,0.68865564,1.9892358,2,3,0,10.991881,0.70921916,-0.5031316,-0.46455558,-0.45425683,-0.51523776,-0.48890107,7,5,5,5,2,5,1,5,1,3,0.21298337,0.44067696
-11.047316,0.92266442,1.5415568,1,1,0,11.29104,0.734244,-0.52272627,-0.4746974,-0.45041037,-0.52723871,-0.4779922,7,3,3,3,5,4,5,7,4,3,0.1576689,0.3190983
-11.047316,0.045849835,2.0886212,1,1,0,11.167056,0.734244,-0.52272627,-0.4746974,-0.45041037,-0.52723871,-0.4779922,8,6,3,2,1,7,4,7,2,5,0.1576689,0.68794487
-10.695538,0.99833241,0.3568006,2,7,0,11.182793,0.50721013,-0.36492217,-0.44703186,-0.50786549,-0.45284616,-0.62429659,6,3,4,2,6,7,5,6,3,4,0.40525714,0.90249364
-10.695538,0.82535502,0.58032136,1,3,0,12.389646,0.50721013,-0.36492217,-0.44703186,-0.50786549,-0.45284616,-0.62429659,5,6,5,1,5,6,6,7,3,5,0.40525714,0.87364867
-10.891654,0.92258453,0.62712848,1,3,0,11.441185,0.69965972,-0.49578483,-0.46118959,-0.45589427,-0.5109225,-0.49342047,3,3,5,2,5,6,5,3,1,2,0.23175912,0.44873084
-10.684496,0.99995514,0.84754011,1,3,0,10.842848,0.61829452,-0.43641707,-0.44325155,-0.47351345,-0.47991738,-0.53959949,6,4,7,2,1,6,3,4,3,3,0.34786314,0.56968025
-11.008505,0.79891297,1.3627566,1,1,0,11.008801,0.39646218,-0.30553919,-0.47983324,-0.55347853,-0.44159061,-0.73298874,5,4,8,1,2,4,3,5,5,3,0.36163827,0.89505058
-10.859208,1,1.3765834,1,3,0,10.926713,0.69089917,-0.48911973,-0.45834586,-0.4574758,-0.50709596,-0.49773167,8,2,5,2,5,8,3,3,2,1,0.24791034,0.26601262
-10.859208,0.049655562,2.1935255,1,1,0,13.406968,0.69089917,-0.48911973,-0.45834586,-0.4574758,-0.50709596,-0.49773167,8,2,6,3,4,6,2,3,1,6,0.24791034,0.43802217
-10.78262,0.99988923,0.40813028,2,3,0,10.87025,0.66657113,-0.47095293,-0.4516309,-0.46227042,-0.49710023,-0.51054716,7,2,4,3,5,7,2,7,2,3,0.28782533,0.38822097
-10.668922,1,0.65121449,2,3,0,10.783184,0.60482738,-0.42714886,-0.44204125,-0.477054,-0.47573155,-0.54855175,7,2,8,3,4,8,5,7,1,6,0.36051468,0.49341181
-10.841038,0.93667331,1.033393,1,1,0,10.841582,0.68565224,-0.48515894,-0.45675165,-0.45845992,-0.5048622,-0.50039104,5,4,2,2,3,7,3,8,4,3,0.25711937,0.49065539
-11.225929,0.8937381,1.4174622,1,3,0,11.231222,0.3513453,-0.28505095,-0.50089085,-0.57522621,-0.44114785,-0.78416959,3,1,8,1,2,8,5,5,4,2,0.31291893,0.88717623
-11.225929,0.417223,1.7623185,1,3,0,11.619029,0.3513453,-0.28505095,-0.50089085,-0.57522621,-0.44114785,-0.78416959,7,3,4,4,3,8,4,2,3,7,0.31291893,0.4785302
-10.681148,0.99620352,0.77070245,1,3,0,11.186829,0.51788672,-0.37129284,-0.44535158,-0.50406089,-0.45473371,-0.61509137,5,4,7,3,5,6,1,4,1,4,0.40418455,0.56656924
-11.266168,0.74485132,1.1984325,1,1,0,11.280161,0.34409844,-0.28197194,-0.5046734,-0.57888807,-0.44129034,-0.79276443,7,6,4,3,4,4,2,6,2,6,0.30318741,0.34306951
-10.69065,1,1.0766981,2,3,0,11.098731,0.62268772,-0.43947537,-0.44375066,-0.47239634,-0.48133918,-0.53675864,7,8,5,5,4,7,3,6,3,2,0.34336722,0.17635476
