# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b55517d786.json
# init = 2 (Default)
# random
#   seed = 2026439510
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252146-1-3b82a4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252146-1-33aab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-10.117856,0.99879155,0.38413923,2,3,0,10.195811,0.44219916,1.9764797,0.87399767,1.1024821,-1.3746933,-0.1205622,-0.96048909,-0.040026908,-0.23689042,6,4,7,3,5,3,6,6,6,8,-0.51537733,0.34578114,1.2130899,0.4194636,0.79362628
-10.659202,0.89156045,0.69023845,2,3,0,10.949882,0.57399267,1.7475177,1.0030623,0.74445534,-1.5896201,-0.11801754,-1.2783489,0.16767734,-0.34482865,2,7,8,7,6,3,6,3,8,8,-0.43708904,0.2457603,2.7837365,0.6841319,2.0996046
-11.291137,0.77668775,0.91106895,2,3,0,11.332512,0.19915508,3.0800495,0.61340752,2.466642,-1.0315903,-0.34371494,-0.54452315,-0.48154028,-0.067428767,3,8,5,4,6,2,6,7,6,7,-1.7676368,0.28520716,2.6642656,0.75986762,1.904398
-11.050044,1,0.87161653,1,1,0,11.518148,0.19674611,2.5740395,0.50643226,2.0676072,-1.0187089,-0.34884578,-0.55342411,-0.4741227,-0.086041804,4,8,6,5,8,6,8,7,5,6,-1.3517741,0.17322045,3.0422159,0.52697401,2.5152419
-11.050044,0.0014001235,1.5382527,1,1,0,11.908005,0.19674611,2.5740395,0.50643226,2.0676072,-1.0187089,-0.34884578,-0.55342411,-0.4741227,-0.086041804,7,8,6,5,8,5,7,4,7,7,-1.3517741,0.16496876,1.1496259,0.18965236,0.9599735
-11.455655,0.98477487,0.17855337,1,3,0,11.801206,0.17931762,2.9874464,0.53570177,2.4517446,-1.0013998,-0.38870504,-0.52330597,-0.5166811,-0.064815472,1,6,8,8,5,4,8,5,7,6,-1.7667047,0.89359124,1.5650584,1.3985224,0.16653591
-10.874253,0.98362215,0.30356308,2,7,0,13.188106,0.42620682,3.698141,1.5761729,2.1219681,-1.4460246,-0.062328741,-0.95297763,-0.070402471,-0.17169111,2,8,6,6,5,4,8,8,5,7,-1.9058496,0.76576024,5.145573,3.9402753,1.2052978
-10.821041,0.96364992,0.51007387,2,7,0,11.464821,0.58551027,1.519713,0.88980757,0.62990544,-1.5726109,-0.14038835,-1.284638,0.17844768,-0.36685127,3,8,5,7,6,1,5,7,8,7,-0.41937055,0.21897452,1.7936724,0.39276855,1.4009039
-10.578988,0.37696309,0.80609052,2,3,0,15.588698,0.56301893,1.9761553,1.1126129,0.86354248,-1.6008356,-0.10005363,-1.2679836,0.15534197,-0.32541382,1,4,7,8,4,2,7,7,8,4,-0.51778023,0.6696119,2.294454,1.5363937,0.75806029
-10.320604,0.99573945,0.27039627,1,3,0,10.739777,0.51121148,1.9055592,0.97414373,0.93141547,-1.4916718,-0.10878378,-1.120172,0.071445149,-0.28874757,1,5,8,8,6,2,7,6,8,5,-0.47028431,0.88925897,3.2553479,2.8948474,0.36050057
-10.12624,0.96253058,0.46354339,2,3,0,10.634422,0.34975914,2.2248283,0.77815404,1.4466743,-1.2370536,-0.15754722,-0.78129735,-0.19654627,-0.16814983,5,5,8,8,3,4,8,3,6,8,-0.73733297,0.9304146,1.2148289,1.1302945,0.084534353
-11.414069,0.69931106,0.72305134,2,3,0,11.772276,0.62948208,2.7943051,1.758965,1.0353401,-1.8454786,-0.061469371,-1.5724598,0.27691856,-0.36092154,2,8,7,8,8,3,6,8,7,7,-1.141022,0.4273667,2.4304545,1.0386953,1.3917592
-12.109284,0.7148686,0.56967129,2,7,0,13.601402,0.30660985,0.80158599,0.24577416,0.55581183,-1.0834188,-0.31330936,-0.77941898,-0.23308507,-0.31026241,3,8,6,8,8,4,8,6,8,7,-1.4331368,0.19957265,2.3132207,0.46165559,1.8515651
-11.078401,0.67286507,0.46864459,2,3,0,14.420025,0.24679548,3.386882,0.83586716,2.5510148,-1.1105259,-0.25097848,-0.60325145,-0.3976343,-0.075572306,1,8,8,6,4,3,8,6,8,6,-1.8915129,0.53394055,1.0236537,0.54657019,0.47708346
