trial,Choice_RL,Opponent_RA,Feedback_RL,Feedback_RA,RL_estimated_value_left,RL_estimated_value_right,true_alpha,true_tau,cumulative_rate
31,1,1,1,0,0.5,0.5,0,1,0.45161290322580644
32,1,1,1,0,0.5,0.5,0,1,0.46875
33,1,1,1,0,0.5,0.5,0,1,0.48484848484848486
34,0,1,0,1,0.5,0.5,0,1,0.47058823529411764
35,1,1,1,0,0.5,0.5,0,1,0.4857142857142857
36,0,1,0,1,0.5,0.5,0,1,0.4722222222222222
37,0,0,1,0,0.5,0.5,0,1,0.4594594594594595
38,1,1,1,0,0.5,0.5,0,1,0.47368421052631576
39,1,1,1,0,0.5,0.5,0,1,0.48717948717948717
40,0,0,1,0,0.5,0.5,0,1,0.475
41,1,1,1,0,0.5,0.5,0,1,0.4878048780487805
42,1,0,0,1,0.5,0.5,0,1,0.5
43,0,0,1,0,0.5,0.5,0,1,0.4883720930232558
44,0,1,0,1,0.5,0.5,0,1,0.4772727272727273
45,1,1,1,0,0.5,0.5,0,1,0.4888888888888889
46,0,0,1,0,0.5,0.5,0,1,0.4782608695652174
47,1,1,1,0,0.5,0.5,0,1,0.48936170212765956
48,0,1,0,1,0.5,0.5,0,1,0.4791666666666667
49,0,0,1,0,0.5,0.5,0,1,0.46938775510204084
50,0,1,0,1,0.5,0.5,0,1,0.46
51,1,1,1,0,0.5,0.5,0,1,0.47058823529411764
52,0,1,0,1,0.5,0.5,0,1,0.46153846153846156
53,1,1,1,0,0.5,0.5,0,1,0.4716981132075472
54,1,1,1,0,0.5,0.5,0,1,0.48148148148148145
55,1,1,1,0,0.5,0.5,0,1,0.4909090909090909
56,1,1,1,0,0.5,0.5,0,1,0.5
57,0,1,0,1,0.5,0.5,0,1,0.49122807017543857
58,1,1,1,0,0.5,0.5,0,1,0.5
59,0,0,1,0,0.5,0.5,0,1,0.4915254237288136
60,0,1,0,1,0.5,0.5,0,1,0.48333333333333334
61,0,1,0,1,0.5,0.5,0,1,0.47540983606557374
62,1,1,1,0,0.5,0.5,0,1,0.4838709677419355
63,0,1,0,1,0.5,0.5,0,1,0.47619047619047616
64,1,1,1,0,0.5,0.5,0,1,0.484375
65,0,1,0,1,0.5,0.5,0,1,0.47692307692307695
66,0,1,0,1,0.5,0.5,0,1,0.4696969696969697
67,1,0,0,1,0.5,0.5,0,1,0.47761194029850745
68,0,0,1,0,0.5,0.5,0,1,0.47058823529411764
69,1,1,1,0,0.5,0.5,0,1,0.4782608695652174
70,1,1,1,0,0.5,0.5,0,1,0.4857142857142857
71,0,1,0,1,0.5,0.5,0,1,0.4788732394366197
72,0,0,1,0,0.5,0.5,0,1,0.4722222222222222
73,0,1,0,1,0.5,0.5,0,1,0.4657534246575342
74,1,1,1,0,0.5,0.5,0,1,0.47297297297297297
75,1,0,0,1,0.5,0.5,0,1,0.48
76,0,1,0,1,0.5,0.5,0,1,0.47368421052631576
77,1,1,1,0,0.5,0.5,0,1,0.4805194805194805
78,0,1,0,1,0.5,0.5,0,1,0.47435897435897434
79,1,0,0,1,0.5,0.5,0,1,0.4810126582278481
80,1,1,1,0,0.5,0.5,0,1,0.4875
81,0,1,0,1,0.5,0.5,0,1,0.48148148148148145
82,1,1,1,0,0.5,0.5,0,1,0.4878048780487805
83,1,0,0,1,0.5,0.5,0,1,0.4939759036144578
84,1,1,1,0,0.5,0.5,0,1,0.5
85,1,1,1,0,0.5,0.5,0,1,0.5058823529411764
86,0,1,0,1,0.5,0.5,0,1,0.5
87,0,1,0,1,0.5,0.5,0,1,0.4942528735632184
88,0,0,1,0,0.5,0.5,0,1,0.48863636363636365
89,0,1,0,1,0.5,0.5,0,1,0.48314606741573035
90,0,1,0,1,0.5,0.5,0,1,0.4777777777777778
91,1,1,1,0,0.5,0.5,0,1,0.4835164835164835
92,1,1,1,0,0.5,0.5,0,1,0.4891304347826087
93,1,1,1,0,0.5,0.5,0,1,0.4946236559139785
94,0,1,0,1,0.5,0.5,0,1,0.48936170212765956
95,1,0,0,1,0.5,0.5,0,1,0.49473684210526314
96,0,1,0,1,0.5,0.5,0,1,0.4895833333333333
97,0,1,0,1,0.5,0.5,0,1,0.4845360824742268
98,0,1,0,1,0.5,0.5,0,1,0.47959183673469385
99,0,1,0,1,0.5,0.5,0,1,0.47474747474747475
100,0,1,0,1,0.5,0.5,0,1,0.47
101,1,1,1,0,0.5,0.5,0,1,0.4752475247524752
102,0,1,0,1,0.5,0.5,0,1,0.47058823529411764
103,1,1,1,0,0.5,0.5,0,1,0.47572815533980584
104,0,1,0,1,0.5,0.5,0,1,0.47115384615384615
105,1,0,0,1,0.5,0.5,0,1,0.47619047619047616
106,0,1,0,1,0.5,0.5,0,1,0.4716981132075472
107,0,1,0,1,0.5,0.5,0,1,0.4672897196261682
